name	id	level	prev	n	estimate	lower	upper	se	p.value	q.value	subspecies	species	genus	family	order	class	phylum	superkingdom
Eubacteriales sp.	HG3A.0100	order	0.651287194918088	8973	-0.138470095912096	-0.17886290917538	-0.0980772826488121	0.0206061399169674	1.93144647890003e-11	3.83392126061656e-08	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Escherichia coli	HG3A.0195	species	0.658865485344924	8973	0.128491193911096	0.0885279475487996	0.168454440273392	0.0203869990611978	3.0665601396257e-10	3.04356093857851e-07	unclassified	Escherichia coli	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria	Bacteria
Streptococcus anginosus	HG3A.0680	species	0.332441769753706	8973	0.127458642153845	0.0873771451696961	0.167540139137994	0.0204473238730223	4.769266598904e-10	3.15566473294148e-07	unclassified	Streptococcus anginosus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus parasanguinis	HG3A.0117	species	0.911846651064304	8973	0.119432334057133	0.0792415832075467	0.15962308490672	0.020503059046084	5.90715260824078e-09	2.53797073273008e-06	unclassified	Streptococcus parasanguinis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Streptococcus oralis subsp. oralis	HG3A.0705	subspecies	0.562465173297671	8973	0.118892769687027	0.0787922971549216	0.158993242219132	0.0204570041295977	6.39287338219165e-09	2.53797073273008e-06	Streptococcus oralis subsp. oralis	Streptococcus oralis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Ligilactobacillus salivarius	HG3A.0919	species	0.0663100412348156	8973	0.111911698071243	0.0720005521255052	0.15182284401698	0.0203604203610133	3.9808967021965e-08	1.31701332564334e-05	unclassified	Ligilactobacillus salivarius	Ligilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Anaerotignum lactatifermentans	HG3A.0676	species	0.0942828485456369	8973	0.108358752827985	0.0682763063660785	0.148441199289891	0.0204478082431351	1.19055013074035e-07	3.37606001359941e-05	unclassified	Anaerotignum lactatifermentans	Anaerotignum	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
[Ruminococcus] torques	HG3A.0088	species	0.801849994427728	8973	0.0979254829450465	0.0578140084650737	0.138036957425019	0.0204626167041822	1.73253545452742e-06	0.00039568809939076	unclassified	[Ruminococcus] torques	Mediterraneibacter	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillibacter sp.	HG3A.0046	genus	0.857349827259557	8973	-0.0976468627531842	-0.137720371392763	-0.0575733541136053	0.020443248669227	1.81251749955912e-06	0.00039568809939076	unclassified	unclassified	Oscillibacter	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillibacter sp.	HG3A.0243	genus	0.586314499052714	8973	0.0974603747801856	0.0572274668508683	0.137693282709503	0.0205245652154553	2.08175014259133e-06	0.00039568809939076	unclassified	unclassified	Oscillibacter	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Rothia mucilaginosa	HG3A.0559	species	0.313161707344255	8973	0.0963481533448619	0.056358530287021	0.136337776402703	0.0204004549667176	2.36146229468732e-06	0.00039568809939076	unclassified	Rothia mucilaginosa	Rothia	Micrococcaceae	Micrococcales	Actinomycetia	Actinobacteria	Bacteria
Streptococcus gordonii	HG3A.0713	species	0.403766856123927	8973	0.0964693034194733	0.0563185139112605	0.136620092927686	0.0204826730188407	2.51731754342299e-06	0.00039568809939076	unclassified	Streptococcus gordonii	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Oscillospiraceae sp.	HG3A.0142	family	0.624094505739441	8973	0.0968441639740062	0.0564865376539602	0.137201790294052	0.0205881895189378	2.59140820759692e-06	0.00039568809939076	unclassified	unclassified	unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0242	order	0.484899141870055	8973	-0.0942422628453505	-0.134324305509493	-0.0541602201812081	0.0204476022482427	4.1034354138318e-06	0.000581808521175437	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Blautia obeum	HG3A.0009	species	0.961997102418366	8973	0.0929417828158323	0.0528122158655658	0.133071349766099	0.0204718464642359	5.70023040809496e-06	0.000754330490671233	unclassified	Blautia obeum	Blautia	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillospiraceae sp.	HG3A.0072	family	0.806642148668227	8973	-0.0919367996821621	-0.132118559109601	-0.0517550402547236	0.0204984721285641	7.38131943466605e-06	0.000915744942363257	unclassified	unclassified	unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Parabacteroides distasonis	HG3A.0024	species	0.928674913629778	8973	0.0921042851999742	0.051397494420658	0.13281107597929	0.0207663135741963	9.30653636143014e-06	0.00106719286137819	unclassified	Parabacteroides distasonis	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	Bacteria
Eubacteriales sp.	HG3A.0190	order	0.626546305583417	8973	0.0904331864208486	0.0503244405243595	0.130541932317338	0.0204612247344604	9.99990268554825e-06	0.00106719286137819	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Eubacteriales sp.	HG3A.0084	order	0.725064081132286	8973	-0.0902448659864594	-0.130311884589232	-0.0501778473836867	0.0204399378177242	1.02149442650809e-05	0.00106719286137819	unclassified	unclassified	unclassified	unclassified	Eubacteriales	Clostridia	Firmicutes	Bacteria
Oscillospiraceae sp.	HG3A.0060	family	0.829265574501282	8973	-0.0893239116790297	-0.129372499358282	-0.0492753239997771	0.0204305353978834	1.24475022980815e-05	0.00123541460308459	unclassified	unclassified	unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Lachnospiraceae sp.	HG3A.1518	family	0.00824696311155689	8973	0.0887872971054557	0.04882198433411	0.128752609876801	0.0203880532267922	1.34644895447312e-05	0.00124119958411432	unclassified	unclassified	unclassified	Lachnospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
Streptococcus agalactiae	HG3A.1733	species	0.0347709796054831	8973	0.0886360420478199	0.0486956118593267	0.128576472236313	0.0203753595334757	1.37563681866574e-05	0.00124119958411432	unclassified	Streptococcus agalactiae	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria
Oscillospiraceae sp.	HG3A.1212	family	0.0622980051264906	8973	0.0876313199859957	0.0476626270679367	0.127600012904055	0.0203897775874021	1.74342014682977e-05	0.00150464738759004	unclassified	unclassified	unclassified	Oscillospiraceae	Eubacteriales	Clostridia	Firmicutes	Bacteria
